id,name,slogan,description,category,default_price
18,"Oliver 0 Shorts","Provident amet aut voluptates consequatur ipsam.","Magni veritatis sed asperiores impedit. Dolorem ratione quam autem beatae. Voluptates fugiat rerum impedit aut sed magni. Vel molestiae dignissimos aperiam. Est quae ut quas qui voluptas nihil rem beatae quod.","Shorts",119
19,"Eloisa Suit","Asperiores a consequatur culpa id excepturi vitae enim.","Quas velit officiis. Accusamus soluta nesciunt ducimus et dolor ipsam assumenda exercitationem. Error ullam et sit debitis eum adipisci fugiat ducimus quaerat.","Suit",573
999996,"Grant Shorts","Ut quo mollitia voluptatum optio cupiditate.","Temporibus ut expedita quia similique ea ea dolorum. Ad et odit ipsa possimus sunt qui qui reiciendis tempore. Autem quasi sed earum cum quis. Et dignissimos suscipit aliquid laudantium voluptatem cum est.","Shorts",605
999997,"The Ophelia Shirt","Sint provident illum.","Voluptatem ratione tempora quia. Neque aliquam voluptas saepe et. Labore deserunt deserunt eum quasi. Asperiores quisquam aut quia ex enim.","Shirt",429
999998,"Carlo Skirt","Exercitationem tempore ducimus aut molestias fuga ut voluptas explicabo tempora.","Et eum eaque facere aspernatur non dolore et praesentium est. Dolorum quisquam ut atque et quis est assumenda enim facilis. Qui aspernatur ea. Esse nemo laborum aut et sed sit reprehenderit odit. Doloribus tempore labore harum. Deserunt libero vero dolor perspiciatis iusto.","Skirt",244
999999,"Rowland Coat","Quos ut nihil autem voluptates sint labore sunt sit.","Quam magni non quia et. Excepturi voluptatibus maxime est architecto. Sit ut vitae nostrum sequi.","Coat",774
1000000,"Noemi Coat","Delectus laborum culpa voluptas asperiores qui quidem laudantium.","Atque cupiditate voluptas repudiandae maiores id veniam rerum quod. Est aut harum eligendi et unde qui. Sequi in labore omnis facilis. Ut mollitia repellendus quaerat. Alias at omnis optio reprehenderit quaerat quis.","Coat",999
1000001,"Monique Sunglasses","Sed dolorem veritatis libero illum quia vel quibusdam consequatur eaque.","Reprehenderit est quod et occaecati nobis. Quasi incidunt consequuntur. Atque qui qui omnis reprehenderit rem. Perferendis accusantium dolorum.","Sunglasses",753
1000002,"Bridget Backpack","Dolores libero nulla.","Et dolore eos dolor ullam iure quis quibusdam unde cumque. Blanditiis at qui animi velit vitae veniam pariatur. Officiis ut commodi aut ea aspernatur ullam.","Backpack",237
1000003,"Armand Jacket","Ab et facilis libero perspiciatis.","Quia nemo laudantium tempora. Ducimus sed accusamus voluptatem. Nihil vel hic sit qui. Ducimus sunt sunt nostrum mollitia dolor. Dolor ab id pariatur ducimus fugiat quo.","Jacket",1000
1000004,"Giuseppe Slacks","Recusandae accusantium ex molestiae natus aspernatur temporibus dicta.","Voluptatem placeat possimus corporis saepe quia optio qui voluptas. Assumenda dignissimos autem repudiandae nisi ad consectetur quasi. Nesciunt architecto aut rerum consequatur quae tempora minima. Minus ut maiores quae ut impedit.","Slacks",693
1000005,"The Christelle Sweatpants","Ea impedit facilis omnis sint natus laborum et molestiae.","Eaque ea sit quo tempora iste. Explicabo laboriosam illo aut itaque quos similique. Quia ex rerum occaecati ab. Assumenda aliquam accusamus distinctio. Nostrum sit tenetur qui voluptate incidunt aliquam beatae velit voluptates. Mollitia ut quam porro laboriosam cupiditate sunt cumque.","Sweatpants",953
1000006,"Agustina 0 Shoes","Molestiae rem excepturi.","Dolor aut necessitatibus ipsa ea eos ad. Labore labore sunt voluptatum rerum mollitia ut et qui. Animi non odit omnis. Dolor illo qui voluptates aperiam ipsum molestias corporis assumenda expedita.","Shoes",788
1000007,"Stanford Boots","Quod at est.","Est aut deserunt non. Consequatur natus et est dolorem velit. Ea ex rerum dolorem. Assumenda ullam qui veniam consequuntur quo voluptatem. Eaque ut aut est eius.","Boots",5
1000008,"Melba Slacks","Minima repellendus inventore aliquam.","Quis saepe neque qui. Debitis amet id iste rerum odio fuga quia suscipit. Id et rem aut illo rem labore. Ea velit fugiat qui id molestiae. Consequuntur ducimus vel est consequatur.","Slacks",857
1000009,"Heather Hoodie","Aut consequuntur possimus non quae voluptatibus quia quaerat.","Et accusamus perferendis. Eius possimus placeat aspernatur totam libero quo sed consectetur. Qui molestias nihil sint et et molestiae sit.","Hoodie",872
1000010,"Leonora Pants","Necessitatibus fuga accusantium totam doloribus molestiae ad eos.","Quibusdam ea omnis aliquam amet. Inventore consectetur molestias iure unde aliquam aspernatur sequi. Ratione delectus qui consectetur sapiente. Eos aut quibusdam autem consequatur cum modi aut facilis. Veniam rerum ratione sed architecto voluptas odio impedit officiis. Voluptatem sint minima.","Pants",341
1000011,"Evangeline Shoes","Aut recusandae tenetur sint laudantium.","Sunt recusandae laborum aut ut voluptatum in modi voluptatum. At sit maiores repudiandae facere ex officia dolorem. Consequatur quos illo. Molestiae quasi aliquid atque consequatur consequatur ipsum et. Nesciunt et dolorum sit ipsa ad aspernatur eos eum. Dicta voluptas et magni dicta ad mollitia.","Shoes",587
